"Z_FieldDescr_Id","OrderID","model","Module","fieldUseGroup","TableName","FieldName","Nulls","dataType","FieldSize","key","References","ClosedList","FieldNotes","FieldDefinition","FieldDefn_old","DestinationField","DestFieldID","exportToXLS","privateNotes","DenormTransl","RecordsNotNull","PercentNotNull","CheckedAt","FldInUse","DescrOfTbl","example1","example2","example3","example4","exampleComments","relType","relName","xmlExportSkip"
122,,"logical","Loading",0.00,"z_USER_A_Party","Party_ID","no","autoNumber",4,"PK","n/a","no","Primary Key for the Z_USER_A_Party table.","Database generated identifier assigned to each unique party.","Database generated identifier assigned to each unique party.","n/a",,0,,0,0,-900.00,1/17/2005 16:54:17,0,0,"100","101","102","103",,,,0
123,,"logical","Loading",0.00,"z_USER_A_Party","VegBankParty_ID","yes","Long Integer",4,"n/a","n/a","no","Allows Parties to be reused in subsequent loading processes.","The Party_ID of this Party that has been migrated into VegBank module.","The Party_ID of this Party that has been migrated into VegBank module.","n/a",,0,,0,0,-900.00,1/17/2005 16:54:17,0,0,"8","9","10","11",,,,0
124,,"logical","Loading",1.00,"z_USER_A_Party","UserPartyCode","no","text",255,"n/a","n/a","no","uniqueValues, serves as a ""pseudo-Primary Key"" in that other tables reference parties through it","A unique code that will refer to a party consistently throughout the loading process.  Other loading tables will use this code to reference the party of this record.  The code can be any combination of letters and numbers.  If you don't have a code for parties, you could simply use the first name and the last name for a code.","A unique code that will refer to a party consistently throughout the loading processes.","n/a",,1,,0,0,-900.00,1/17/2005 16:54:17,1,1,"Ed","PaulaSmith","Levi Wilding","Wilding, Jonah",,,,0
125,,"logical","Loading",1.50,"z_USER_A_Party","SurName","yes","text",50,"n/a","n/a","no","n/a","Name shared in common to identify the members of a family, as distinguished from each member's given name.","Name shared in common to identify the members of a family, as distinguished from each member's given name.","party.surName",6585,1,,0,0,-900.00,1/17/2005 16:54:17,1,0,"Murphy","Smith","Wilding","Wilding",,,,0
126,,"logical","Loading",2.00,"z_USER_A_Party","GivenName","yes","text",50,"n/a","n/a","no","n/a","One's first name.","One's first name.","party.givenName",6583,1,,0,0,-900.00,1/17/2005 16:54:17,1,0,"Ed","Paula","Levi","Jonah",,,,0
127,,"logical","Loading",1.50,"z_USER_A_Party","OrganizationName","yes","Text",100,"n/a","n/a","no","n/a","Name of an organization.","Name of an organization.","party.organizationName",6586,1,,0,0,-900.00,1/17/2005 16:54:17,0,0,"University of Kalazona","US Dept of Ecology",,,,,,0
128,,"logical","Loading",2.00,"z_USER_A_Party","Email","yes","text",100,"n/a","n/a","no","n/a","email address of party member","email address of party member","address.email",6214,1,,0,0,-900.00,1/17/2005 16:54:17,0,0,"emurphy@kalazona.edu","paula.smith@usde.gov","lwilding@yahoo.com","jonah_wilding@mail.org",,,,0
129,,"logical","Loading",3.00,"z_USER_A_Party","TelephoneNumber","yes","text",30,"n/a","n/a","no","n/a","Telephone number.","Telephone number.","telephone.phoneNumber",6563,1,,1,0,-900.00,1/17/2005 16:54:17,1,0,"+1-515-555-1819","+1-233-555-1977","+1-604-555-5916","+1-604-555-1649","specify phone number fully",,,0
130,,"logical","Loading",3.00,"z_USER_A_Party","TelephoneType","yes","text",20,"n/a","n/a","yes","closed list","This is the type of telephone: home, work, fax, cell, secretary, other.","This is the type of telephone: home, work, fax, cell, secretary, other.","telephone.phoneType",6564,1,,1,0,-900.00,1/17/2005 16:54:17,1,0,"office","cell","home","fax",,,,0
142,,"logical","Loading",0.00,"z_USER_C_plotData","PLOT_ID","no","autoNumber",4,"PK","n/a","no","Primary Key for the Z_USER_C_PlotData table.","Database generated identifier assigned to each unique plot/observation.","Database generated identifier assigned to each unique plot/observation.","n/a",,0,,0,0,-900.00,1/17/2005 16:54:17,0,0,"200","201","202","203",,,,0
144,,"logical","Loading",1.00,"z_USER_C_plotData","authorPlotCode","no","text",100,"n/a","n/a","no","uniqueValues, serves as a ""pseudo-Primary Key"" in that other tables reference plot/observations through it","Author's Plot number/code, or the original plot number if taken from literature.  This number/code will be used to link other loading table records to this plot.  Each plot should have its own unique code.  If authorPlotCode fields in other tables have values not found in Plot Data, the Data Check form will report an error.","Author's Plot number/code, or the original plot number if taken from literature.","plot.authorPlotCode",6429,1,,0,0,-900.00,1/17/2005 16:54:17,1,1,"plot1","pl-44","GARI044","UBC ENDWLD",,,,0
145,,"logical","Loading",4.00,"z_USER_C_plotData","reference_ID","yes","Long Integer",4,"FK","n/a","no","Foreign key into the reference table","Link to the source citation from which this plot record was taken.  Advanced field, must refer to primary key in reference table.","Link to the source citation from which this plot record was taken","plot.reference_ID",6431,1,,0,0,-900.00,1/17/2005 16:54:17,1,0,"3","12",,,"optional - must look up the citation_ID from the citation table if you want to use this.",,,0
146,,"logical","Loading",1.00,"z_USER_C_plotData","realLatitude","yes","Double",8,"n/a","n/a","no","n/a","Latitude of the plot origin in degrees and decimals, datum =WGS84","Latitude of the plot origin in degrees and decimals, datum =WGS84","plot.Latitude",6438,1,,0,0,-900.00,1/17/2005 16:54:17,1,0,"37.7849165","29.2514","50.0849","49.25774",,,,0
147,,"logical","Loading",1.00,"z_USER_C_plotData","realLongitude","yes","Double",8,"n/a","n/a","no","n/a","Longitude of the plot origin in degrees and decimals, datum = WGS84","Longitude of the plot origin in degrees and decimals, datum = WGS84","plot.Longitude",6439,1,,0,0,-900.00,1/17/2005 16:54:17,1,0,"-100.134978","-108.164823","-122.219758","-123.21131",,,,0
148,,"logical","Loading",2.00,"z_USER_C_plotData","locationAccuracy","yes","Double",8,"n/a","n/a","no","n/a","Estimated accuracy of the location of the plot. Plot origin has a 95% or greater probability of being within this many meters of the reported location.","Estimated accuracy of the location of the plot. Plot origin has a 95% or greater probability of being within this many meters of the reported location.","plot.locationAccuracy",6435,1,,0,0,-900.00,1/17/2005 16:54:17,1,0,"100","50","200","10",,,,0
149,,"logical","Loading",1.00,"z_USER_C_plotData","confidentialityStatus","yes","text",50,"n/a","n/a","yes","closed list, translated to numeric values in translation form","Are the data to be considered confidential? If so, location coordinates can be ""fuzzed"" so that the exact location of the plot is not public knowledge, but approximate location is.  Location and the plot can also be completely embargoed.  See the closed list for details on valid values for this field.","Are the data to be considered confidential? 0=no, 1= 1km radius, 2=10km radius, 3=100km radius, 4=location embargo, 5=public embargo on all plot data, 6=full embargo on all plot data. This applies also to region.","plot.confidentialityStatus",6436,1,,0,0,-900.00,1/17/2005 16:54:17,1,0,"public","1 km radius","10 km radius","Location embargo",,,,0
