"zTable_ID","TableName","foreignName","tblLetter","mod","submodule","TableSummary","TableDescription","TableReqd","TablesInVB","TableAutoGen","tableQuestions","tableExpertise","children","tableNickName","MaxPK","MinImportPK","ImportOrder","LinkedTo","FileLocation","ImportFromTable","NumberOfRecs","UserReq","UserDone","MaxPKOnConnect","MaxPKb4Migr","minPKb4Migr","countRecb4Migr","ExportTbl","ERDX","ERDY","calc_N","calc_E","calc_S","calc_W","ERDtblcolor","ERDLoadColor","origERDx","origERDy","tableIcon","pageDisplay"
52,"z_USER_A_Party",,"A","Loading",,"Information about the different people (parties) involved in your plots, projects, taxa, and classifications.","Party data has a UserPartyCode which can then be used to identify any party in other loading tables.  This code can be any combination of letters or numbers.  Firstname plus lastname would make a good code if you have no codes already for parties.
This table allows you to enter data about each party, such as names, organization, address, and phone number.","Not required.  VegBranch can generate this table from other tables (Plot Data and Plot Community Data) with the Party Form or Metadata Form.","party, address (1), telephone (1)","VegBranch can generate this table from the contrib fields in Plot Data (or Plot Normalized) and the InterpParty fields in Plot Communities.","Who participated in observing or classifying plots?  
Who are you? 
Information about them.","basic",,"Party Information",,,50.00,,"C:\temp\exampleFile.csv",,0,,0,665,185,184,2,,4.00,2.00,3365,11650,8047,9550,0,9,4.00,2.00,,1
54,"z_USER_C_plotData",,"C","Loading",,"Data that are consistent across a plot.  For example, elevation, plot name, plot location, etc.","Defines each plot, which are linked from other loading tables with the authorPlotCode.  Stratum Definitions may also be provided here, or in Normalized Plot Data.","REQUIRED.  You must have plot data to submit a plot.  If you don't have this data in digital format, you will need to enter your plot data manually in a form.","plot, observation, stratum (9), observationContributor (5), place (5)","no","Where are the plots? 
When were they observed? 
What are their environments? 
What was the methodology?","basic",,"Plot Data",,,52.00,,"C:\temp\exampleFile.csv",,0,,0,360,474,474,1,,5.00,0.55,306,14550,40014,12450,0,6,5.00,0.55,,1
55,"z_USER_D_CoverData",,"D","Loading",,"This is one of two tables for entering information about taxa occurring on each plot.  Data may also be entered to Strata Cover Loading Table, or to both tables (export users).  This table stores each taxon present on each plot.","Each taxon observed on a plot is listed once in this loading table, optionally with with its cover (or coverCode) for the entire taxon.  Each plot is linked to Plot Data by authorPlotCode.  Each plant has a plantCode here, which may either link directly to a plant in the vegbank_module or to a plantCode in the Species List Loading Table.  You may also use up to 9 strata here, which must then be defined in Plot Data, which are listed in 9 columns.  If you do not list your strata in columns, you may prefer to use the loading table: Strata Cover.  All cover/importance information will be moved to Strata Cover from this table in the loading process.","At least one of the following is required: Cover Data, Stratum Cover Data, Stem Data.  These are the three different options for referencing the plant taxa on your plot.","taxonObservation, taxonInterpretation (part., 1-2), taxonImportance (9-10)","VegBranch can generate this table from Strata Cover Data table.","What species were present on each plots? 
How certain are you about the species ID?","advanced",,"Presence Data",,,53.00,,"C:\temp\exampleFile.csv",,1,,0,8466,0,0,0,,6.00,4.00,7585,17450,19019,15350,0,5,6.00,4.00,,1
56,"z_USER_E_stemData",,"E","Loading",,"Data about the stems that you measured on the plot.","Each stem observed can have sizes listed (diameter and height), as well as X,Y coordinates, code, and health.  You may also indicate multiple stems per size class, which is useful for those tallying stems in size classes.
Each plot is linked to Plot Data by authorPlotCode.  Each plant has a plantCode here, which may either link directly to a plant in the vegbank_module or to a plantCode in the Species List Loading Table.","At least one of the following is required: Cover Data, Stratum Cover Data, Stem Data.  These are the three different options for referencing the plant taxa on your plot.","stemCount, stemLocation (1).","no","Were trees measured on the plots? 
How many? 
How big? 
What kind?","medium",,"Stem Data",,,55.00,,"C:\temp\exampleFile.csv",,0,,0,1,0,0,0,,7.00,3.50,6530,20350,15010,18250,0,10,7.00,3.50,,2
57,"Z_USER_F_SoilData",,"F","Loading",,"Data about the soils collected from a plot.","Soils data of standard types are listed in this table.  For attributes that are not standard, userDefined fields must be used due to differences in methods of calculating soil variables.  Each plot is linked to Plot Data by authorPlotCode.","Not required.","soilObs","no","Were soils data collected on the plots?","medium",,"Soil Data",,,56.00,,"C:\temp\exampleFile.csv",,0,,0,0,0,0,0,,1.00,0.55,306,2950,11318,850,0,11,1.00,0.55,,2
58,"Z_USER_G_Disturbance",,"G","Loading",,"Data about evidence of disturbance observed on the plot.","Different types of disturbance can be described in this table.  Plots may have many different types of disturbance, each with its own record in this table.  Each plot is linked to Plot Data by authorPlotCode.","Not required.","disturbanceObs","no","Was disturbance evidence recorded for the plots?","medium",,"Disturbance Data",,,57.00,,"C:\temp\exampleFile.csv",,0,,0,0,0,0,0,,2.00,1.20,1677,5850,3405,3750,0,12,2.00,1.20,,2
60,"Z_USER_I_PlotComm",,"I","Loading",,"Assigns plots to particular communities (up to 4 per record), based on a methodology that you specify.","Plots may be assigned to communities with this table.  Up to four communities may be linked to a plot with commName1-commName4.  These are matched to VegBank concepts in either the Community Loading Table or by linking directly to a community already in the vegbank_module (with a standard name, ie CEGL code).  Plots are linked with authorPlotCode.","Not required.  Only necessary if you wish to assign plots to communities.","commClass, classContributor (4), commInterpretation (4)","no","What communities do each plot belong to? 
According to whom? 
With what degree of certainty?","advanced",,"Plot Communities",,,59.00,,"C:\temp\exampleFile.csv",,0,,0,0,0,0,0,,3.00,1.80,2943,8750,10157,6650,0,1,3.00,1.80,,2
61,"Z_USER_J_UD",,"J","Loading",,"Data about what your user defined fields whose values are in the other loading tables.","You must define any User Defined fields with this table.  Please describe your data as well as possible, so that others may use this data.  Linked to a definedValue by loading table letter [Utbl]: C for Plot Data, D for Presence Data, E for Stem Data, F for Soil Data; and number in that table [Ufld] (1-25 or 35).","Not required unless you have user defined data in one or more of the following: Plot Data, Cover Data, Stem Data, Soil Data.","userDefined","no","Were user defined variables used in other loading tables?  
What do these variables mean?","expert",,"User Defined Metadata",,,60.00,,"C:\temp\exampleFile.csv",,0,,0,3,0,0,0,,4.00,4.50,8640,11650,11001,9550,0,8,4.00,4.50,,2
65,"z_USER_B_SpecList",,"B","Loading",,"Information about plants in your dataset.  This table is used when a simple link to a plant in the vegbank module is not possible from your other loading tables.","This table has three uses: linking plantCodes to full plant names; describeing irregular taxa; adding new plant concepts to the vegbank module.
1) To link a plant code of yours to a standard plant name, fill in the plantCode field with your value and the plantName field with a recognized plant name that may already be in the vegbank_module (i.e. USDA code, scientific name with or without author). Use plantSyn1 if there is an updated taxonomy name that should be linked to as the ""current"" concept.  Any plants referenced in the other loading tables with a plantCode here will be looked up as the plantName mentioned here.
2) Irregular taxa may be added with a plantCode to link to the irregular taxon from elsewhere, an original name (to be used to describe the irregular taxon), a plantName which is the best single plant concept for the irregular taxon (usually higher level), and optionally up to 4 taxa that may be grouped to comprise the taxon (2 or more of fields PlantSyn1-4).
3) New taxa may be added, and must have references and conceptStatus.  They may also have synonyms and several names systems for plantUsage.","Not required unless you wish to refer to taxa (that is, plant concepts) that are not already in VegBranch.","plantConcept, plantName, plantStatus (1), plantUsage (4-5), plantCorrelation (4),  taxonObservation (part.), taxonInterpretation (part.) and taxonAlt.","VegBranch can populate this table from plant names in other tables that do not match records in the VegBank module.","Do you have any synonymized taxa (for example, you call it X, but now it is called Y)?  
Do you use codes for plant names that must be matched to 'real' plant names?
Do you have any irregular taxa that are not part of standard lists (ie Genus sp#1, Hairy sedge, Species A or Species B)?
Do you have taxa to add to VegBank?","medium/expert",,"Species List",,,51.00,,"C:\temp\exampleFile.csv",,0,,0,13906,0,0,0,,6.40,0.55,306,18610,8364,16510,0,2,6.40,0.55,,1
67,"Z_USER_D2_StrataCover",,"D2","Loading",,"This is one of two tables for entering information about taxa occurring on each plot.  Data may also be entered to Presence Data Loading Table, or to both tables (export users).  This table stores information such as cover, biomass, basal area (optionally in a particular stratum) about taxa on each plot.","Each taxon observed on a plot is listed once per stratum observed in this loading table, along with its cover (or coverCode) for the that stratum.  Cover may also be listed for the entire taxon by leaving the stratum value blank.  Each plot is linked to Plot Data by authorPlotCode.  Each plant has a plantCode here, which may either link directly to a plant in the vegbank_module or to a plantCode in the Species List Loading Table.  If you list your strata in many columns, you may prefer to use the loading table: Presence Data.","At least one of the following is required: Cover Data, Stratum Cover Data, Stem Data.  These are the three different options for referencing the plant taxa on your plot.","taxonObservation, taxonImportance","VegBranch can generate this table from the Presence Data table.  Only cover will be considered for strata, though.","What importance value does each taxon on each plot (perhaps for only one stratum) have (i.e. cover, biomass, basal area)?
What degree of certainty do you have in ID of taxa?","basic",,"Strata Cover Data",,,54.00,,"C:\temp\exampleFile.csv",,1,,0,168,0,0,0,,8.00,8.00,16025,23250,18597,21150,0,5,8.00,8.00,,1
