"form_ID","formName","formType","formHelp","formReady","subFrm","screenshotDone","userBeenHere","lastUpdateVers","lastUpdateDate","lastModifiedDate","lastUpdateComments"
1,"address","view_not","this subform displays information about addresses that are linked to a party",0,1,0,0,,,12/16/2004 21:06:56,
2,"BrowseForFile","util","Used to browse for files on your computer in many places throughout VegBranch.",1,0,0,0,"1.5",7/29/2004 0:58:30,7/28/2004 23:58:30,
3,"chk_CoverCodes_Cvr","!_not",,0,0,0,0,,,10/16/2004 15:36:42,
4,"classContributor","view_not",,0,1,0,0,,,12/16/2004 21:06:36,
5,"ClearMetaDataForm","load","This form allows you to clear much of the data that you have already provided, perhaps in a previous migration.  Use this form to reset VegBranch or remove some of the criteria you have already supplied.",1,0,1,0,"1.5",7/28/2004 12:40:36,11/5/2004 15:08:29,
6,"commClass","view_not","This form shows you the links that people have made between plots and communities.  The form parallels the table ""commClass"" in vegbank.  See the datadictionary for more information about that table (either online or in VegBranch).",0,2,0,0,,,12/16/2004 21:06:35,
7,"commConcept","view_not",,0,0,0,0,,,12/16/2004 21:07:20,
8,"commInterpretation","view_not",,0,1,0,0,,,12/16/2004 21:06:32,
9,"commName","view_not",,0,0,0,0,,,12/16/2004 21:07:19,
10,"commUsage","view_not",,0,0,0,0,,,12/16/2004 21:07:33,
11,"ConfirmOptions","global","This form is shown when VegBranch starts if any confirmation messages are turned on in MS Access (machine-level setting).  VegBranch will not function well with confirmation messages, because there will be too many of them.  This form provides more information about how VegBranch should deal with confirmation messages.",1,0,1,0,"1.5",6/8/2004 9:55:19,6/8/2004 8:55:19,
12,"coverMethod","view_not",,0,0,0,0,,,12/16/2004 21:06:52,
13,"cust_NPS_mainMenu","cust_load","This is used to connect to a NPS-PLOTS database and then copy the data found there to the Loading Module of VegBranch.  From that point on, you need to continue the normal loading process.",0,0,0,0,"1.5",7/30/2004 0:00:00,10/31/2004 16:15:02,
14,"cust_NPS_sendPortions","cust_load",,1,1,0,0,"1.5",6/8/2004 9:55:20,6/8/2004 8:55:20,
15,"cust_NPS_stemErrResolve","cust_load","This form shows you errors that VegBranch encountered when trying to copy stems from the DBH comma-separated list into the VegBranch stems tables, where each stem is listed separately as one DBH value.  Errors are from a DBH field value in the NPS-PLOTS data that aren't true comma-separated values.  There is usually just some extra text that is useful to a person, but confusing to a computer.",1,0,1,0,"1.5",6/10/2004 10:29:25,12/16/2004 21:05:13,
16,"cust_NPS_sub_currStems","cust_load",,1,1,0,0,"1.5",6/8/2004 9:55:19,10/18/2004 13:06:59,
17,"cust_NPS_sub_errStems","cust_load","This form shows all the errors VegBranch encountered when trying to copy your DBH field in the NPS-PLOTS database to the VegBranch Loading module.  This is normally part of the larger error form, but can be viewed separately, too.",1,2,1,0,"1.5",6/8/2004 9:55:19,10/18/2004 13:06:58,
18,"cust_NPS_sub_origDBH","cust_load",,1,1,0,0,"1.5",6/8/2004 9:55:19,12/16/2004 21:05:11,
19,"DataCheckSwitchboard","load","The Data Checking form analyzes your data and shows you errors that will prevent migration of your data to VegBank format.  If you attempt to migrate data with errors, the migration will be interrupted by error messages.
Generally, the data checking looks to see if your data are consistent with each other and if you have overlooked a step in the loading process.

Errors of many different types are checked.  One row will appear for each error that is found.  If a certain type of error is not found, the row for that error will not appear at all.  The total number of errors of all types is displayed in red at the top of the form.",0,0,0,0,"1.5",7/30/2004 0:00:00,12/16/2004 22:53:40,
20,"definedValue","view_not",,0,2,0,0,,,12/16/2004 21:06:28,
21,"DeletePlantsCommsForm","DBA_not",,0,0,0,0,,,6/8/2004 8:55:19,
22,"disturbanceObs","view_not",,0,0,0,0,,,12/16/2004 21:07:01,
23,"ent_commList","ent_NOT",,0,1,0,0,,,12/10/2004 10:42:06,
24,"ent_plot_observation","ent_NOT",,0,0,0,0,,,12/16/2004 21:10:25,
25,"ent_specList","ent_NOT",,0,,0,0,,,12/10/2004 10:42:06,
26,"ent_stems","ent_NOT",,0,,0,0,,,12/16/2004 21:04:39,
27,"ent_stratum","ent_NOT",,0,,0,0,,,12/16/2004 21:10:25,
28,"ent_sub_commClass","ent_NOT",,0,,0,0,,,12/16/2004 21:04:35,
29,"ent_sub_disturbanceObs","ent_NOT",,0,,0,0,,,12/16/2004 21:04:47,
30,"ent_sub_embargo","ent_NOT",,0,,0,0,,,12/16/2004 21:04:46,
31,"ent_sub_observationContributor","ent_NOT",,0,,0,0,,,12/16/2004 21:04:49,
32,"ent_sub_place","ent_NOT",,0,,0,0,,,12/16/2004 21:04:46,
33,"ent_sub_soilObs","ent_NOT",,0,,0,0,,,12/16/2004 21:04:47,
34,"ent_sub_sub_classContributor","ent_NOT",,0,,0,0,,,12/16/2004 21:04:33,
35,"ent_sub_sub_commInterpretation","ent_NOT",,0,,0,0,,,12/16/2004 21:04:34,
36,"ent_taxonAlt","ent_NOT",,0,,0,0,,,12/16/2004 21:04:44,
37,"ent_taxonImportance","ent_NOT",,0,,0,0,,,12/16/2004 21:10:38,
38,"ent_taxonInterpretation","ent_NOT",,0,,0,0,,,12/16/2004 21:05:11,
39,"erd_vegbank","global","This is the ERD (entity relationship diagram) for vegbank, which is identical to the vegbank module.  Tables are represented by boxes, which have arrows linking them, symbolizing relationships between the tables.  You can click a field in a table for more information about it.  Double click a field to see it in the data dictionary.",1,0,1,0,"1.5",6/8/2004 9:55:19,12/10/2004 10:43:25,
40,"erdCopyFrom","DBA_not",,0,0,0,0,,,6/8/2004 8:55:19,
41,"ERDKey","global","This small form is a key to the ERD and explains what the colors on the ERD mean, as well as what the info to the left of each field means.",1,0,1,0,"1.5",6/8/2004 9:55:20,6/8/2004 8:55:20,
42,"ERDtemp","DBA_not",,0,0,0,0,,,12/10/2004 10:43:27,
43,"ERDtemp3","DBA_not",,0,0,0,0,,,6/8/2004 8:55:19,
44,"error_report","global","This is used to report complicated errors to you during processes in VegBranch.",1,0,1,0,"1.5",6/8/2004 9:55:19,6/8/2004 8:55:19,
45,"ExplanationForm","global","This form gives a very brief overview about VegBranch: what it is and why you might be interested in using it.",1,0,0,0,"1.5",7/27/2004 9:22:58,7/27/2004 8:22:58,
46,"ExportData","load","This form explorts data from your vegbank module to an XML file.  An XML file is a type of text file that can hold all the data that is found in vegbank.  This XML file is the file that you will want to upload to vegbank.org if you are loading the plots in vegbranch to vegbank.org.",0,0,0,0,"1.5",7/30/2004 0:00:00,12/16/2004 21:05:35,
47,"fieldList","global","This form shows you the open or closed list values that are attached to fields in vegbank.  For the purposes of VegBranch, this information applies to the vegbank module.  A closed list means that only values listed here may be used in a field.  An open list means that the values here are recommended, but other values may be used if none of these are suitable.  You can show values for only one field or table, or all.",0,2,0,0,"1.5",7/30/2004 0:00:00,12/16/2004 21:05:34,
48,"FieldNameConversion","load","This form is used to convert your field names to VegBranch field names.  This form appears after you attempt to load data in the ""Load Data"" form if the field names in your data (either .csv file or .mdb) do not match VegBranch names exactly.  You can save these conversion criteria to use again with another file you'd like to import.",1,0,1,0,"1.5",10/16/2004 0:00:00,12/10/2004 7:47:57,"added field names: no real change.  Update screenshot."
49,"FieldsToConvertUsr","load","This form allows you to choose field to translate.  You may want to link to the translation form directly from the data dictionary instead of using this form, as this may be easier to find the field you'd like to translate.",0,0,0,0,"1.5",7/30/2004 0:00:00,12/10/2004 10:44:36,
50,"get_PCConcept","PC_not",,0,0,0,0,,,12/16/2004 21:08:59,
51,"GraphingOptions","global","This form will graph the number of records in tables in VegBranch.  This is a useful way to visualize where data is in the database.  Good knowledge of vegbank is necessary for this to make sense, though.",1,0,1,0,"1.5",6/8/2004 9:55:19,12/10/2004 10:46:31,
52,"ImportingData","status_not","This just lets you know that VegBranch is working on importing data.",0,0,0,0,,,6/8/2004 8:55:19,
53,"IntellProp","global","This form shows information about Intellectual property for VegBranch.",1,0,1,0,"1.5",6/8/2004 9:55:19,6/8/2004 8:55:19,
54,"LoadGroupSwitch","load","This form shows an overview of what the loading tables are, so that you may learn about them to determine which tables your data should be loaded into.

Notice that, at the left, you can select which type of loading table you would like to work with or learn about (e.g. Plot Group, Plant Group, etc.).  Within each group you can select which table to work with, and for each table, you can see a summary, a detailed description, or see whether that table is required.  Using the buttons in the lower right, you can also view each loading table in the data dictionary, which provides detailed information about each field within the table, or you can view the data in Access table format by clicking ""View Table"".  You can also see a diagram of all the loading tables in VegBranch by clicking the button in the upper left.",1,0,1,0,"1.5",7/3/2004 13:45:03,12/10/2004 10:46:19,
55,"LoadingStatus","status_not","This form tells you how loading is going.  If it is still open and you can click it, then something stopped unexpectedly in VegBranch.",0,0,0,0,,,6/8/2004 8:55:19,
56,"LoadingTablesDiagram","load","This is a diagram that attempts to show the relationship of the different tables in the loading module to you.  Each table is represented as a box, and different information can be displayed for each table, according to the picklists at the top of the diagram.  This diagram can be resized with the display controls.  You can also double-click a table to get more information that what is seen here, which is controlled also by a picklist at the top of the diagram.",1,0,1,0,"1.5",1/21/2005 0:00:00,6/8/2004 8:55:19,
57,"Master_Switchboard","load","This form takes data from a digital format (spreadsheet file, the generic .csv or comma-separated values; or Access database) and imports these data into one of the loading tables in VegBranch.

First select which table you'd like to import to, then find the file and import it.  If field names do not match, you'll be directed to a new form where you can map your field names onto VegBranch loading table field names.  If your file is a matrix file, it can be normalized using a button that links to a utility in vegbranch that normalizes this file.",0,0,0,0,"1.5",9/2/2004 0:00:00,12/6/2004 16:38:51,"reorganization of form, still works same, just moved things all around"
58,"MetaData_Plant_Comm","load","This form allows you to set metadata options for species and communities.  This deals with the Species List and the Community Loading Table.",0,0,0,0,"1.5",7/30/2004 0:00:00,10/15/2004 10:50:30,
59,"MetaDataAdvanced","!_not",,0,0,0,0,,,6/8/2004 8:55:19,
60,"MetaDataSwitchboard","load","Here, you may supply data that may not already be in the rest of your data files.  Any values you specify here will be used if there is no value in the rest of your data.  If, for example, you specify a cover method in your Plot Data, that cover method will be used for the particular plot there, and not the one listed here.

If methods, projects, or people are not in the picklists below that you would like to use, you may add them using the 'add' buttons.

If the bottom section of the form is used, you must press the long button there to update null values in your loading tables.",0,0,0,0,"1.5",7/30/2004 0:00:00,12/16/2004 21:06:48,
61,"MigrateData_Final","load","This form takes the data in the loading module and migrates (copies) it to the vegbank module, which is the connected database that mimics the vegbank.org database.  You should only use this form after you have used the data check form to determine that there are no errors in your data that will prevent migration from occurring smoothly.  Also, it is recommended that you use the ""backup vegbank module"" button to make a backup copy of that database in the event of errors.",0,0,0,0,"1.5",7/30/2004 0:00:00,11/5/2004 10:31:37,
62,"misc_compare","DBA_not",,0,0,0,0,,,6/8/2004 8:55:19,
63,"misc_selTbl_compare","DBA_not",,0,0,0,0,,,6/8/2004 8:55:19,
64,"msgBox_cust","global","This form is a generic form which may be presented to you to try to see what you'd like to do about something.  The buttons will change, both in number presented on this form and what each button does.  Press cancel if you don't want to use any of the options listed.",0,0,0,0,"1.5",7/30/2004 0:00:00,12/9/2004 17:09:10,
65,"namedPlace","view_not",,0,2,0,0,,,12/16/2004 21:04:46,
66,"NavForm","global","The main menu gives you different common tasks that you may want to do in VegBranch.  Also useful is the toolbar which appears at the top of the screen.",0,0,0,0,"1.5",7/30/2004 0:00:00,11/5/2004 15:39:23,
68,"NormalizeFile","util","This form allows you to ""normalize a file,"" by which we mean turn a matrix style file into a database file, with headers at the top.  For more information, see the web link from the form itself.",0,0,0,0,,,6/8/2004 8:55:19,
69,"noteLink","view_not",,0,0,0,0,,,12/16/2004 21:06:26,
70,"obs_plot","view_not",,0,0,0,0,,,12/10/2004 10:44:50,
71,"obs_plot_big","view_not",,0,0,0,0,,,12/10/2004 10:43:47,
72,"obs_plot_subfrms","!_not",,0,0,0,0,,,12/16/2004 21:05:25,
73,"observationContributor","view_not",,0,1,0,0,,,6/8/2004 8:55:19,
74,"party","view_not",,0,0,0,0,,,12/16/2004 21:06:55,
75,"PCConcept","PC_not",,0,0,0,0,,,12/16/2004 21:09:13,
76,"PCCorrelation","PC_not",,0,1,0,0,,,12/16/2004 21:09:22,
77,"PCName","PC_not",,0,1,0,0,,,6/8/2004 8:55:19,
78,"PCStatus","PC_not",,0,1,0,0,,,12/16/2004 21:09:35,
79,"PCUsage","PC_not",,0,1,0,0,,,12/16/2004 21:09:40,
80,"PlantConcept","view_not",,0,0,0,0,,,12/16/2004 21:06:37,
81,"plantName","view_not",,0,0,0,0,,,12/16/2004 21:06:58,
82,"PlantUsage","view_not",,0,0,0,0,,,12/16/2004 21:06:11,
83,"Processing","status_not","This form shows you that VegBranch is processing something, and tells you how progress is going.  If this form allows you to move it, then a process has stopped unexpectedly and VegBranch didn't close this form.",0,0,0,0,,,7/12/2004 14:49:09,
84,"project","view_not",,0,0,0,0,,,12/16/2004 21:06:48,
85,"projectContributor","view_not",,0,1,0,0,,,12/16/2004 21:06:50,
86,"rank_tables","view_not",,0,0,0,0,,,6/8/2004 8:55:19,
87,"rank_tables_gui","view_not",,0,0,0,0,,,12/16/2004 21:08:40,
89,"Reference","view_not",,0,0,0,0,,,12/17/2004 0:10:43,
90,"referenceAltIdent","view_not",,0,1,0,0,,,12/16/2004 21:05:53,
91,"referenceContributor","view_not",,0,1,0,0,,,12/17/2004 0:00:22,
92,"referenceJournal","view_not",,0,2,0,0,,,12/16/2004 21:05:31,
93,"referenceParty","view_not",,0,2,0,0,,,12/17/2004 0:05:42,
94,"ReportABug","global","This form gives you instructions on how to report an error to us.  If you find something in VegBranch that doesn't work properly, we'd really appreciate knowing about it so we can fix it.",1,0,1,0,"1.5",6/8/2004 9:55:19,10/31/2004 16:14:44,
95,"Select_PlantConceptView","!view_not",,0,0,0,0,,,12/10/2004 10:45:11,
96,"soilObs","view_not",,0,0,0,0,,,12/16/2004 21:07:01,
97,"StemCount","view_not",,0,0,0,0,,,10/16/2004 15:46:01,
98,"stemLocation","view_not",,0,0,0,0,,,12/16/2004 21:05:30,
99,"stratum","view_not",,0,0,0,0,,,6/8/2004 8:55:19,
100,"stratumMethod","view_not",,0,0,0,0,,,12/16/2004 23:57:11,
101,"Sub_coverIndex","view_not",,0,1,0,0,,,12/16/2004 21:06:51,
102,"sub_ERD_details","global","Shows information about one field at a time in VegBranch (either vegbank module or loading module).  This information comes from the VegBranch data dictionary.",1,2,1,0,"1.5",6/8/2004 9:55:19,12/10/2004 10:43:28,
